RANDOM SEQUENCES
n,lengthS,lengthT,MinCost;
0,1190,1149,611;
1,2631,50000,47369;
2,1041,1282,642;
3,1111,1666,858;
4,2777,1000,1824;
5,11111,2040,9071;
6,2702,2000,1347;
7,1123,1162,612;
8,2083,1694,1050;
9,2173,3448,1805;
10,1234,1470,726;
11,1754,1298,883;
12,1724,1724,898;
13,12500,1492,11008;
14,1369,6250,4881;
15,2222,1282,1200;
16,33333,7142,26191;
17,33333,1176,32157;
18,5555,2272,3470;
19,1190,2040,1108;
20,1612,1282,805;
21,1785,3225,1777;
22,1515,2222,1136;
23,1960,1515,979;
24,1754,4545,2910;
25,20000,14285,10058;
26,1162,2941,1866;
27,2941,4000,1996;
28,1818,1010,1006;
29,2272,2040,1141;
30,8333,9090,4538;
31,5263,2000,3389;
32,1351,1612,811;
33,1470,2173,1122;
34,2380,3030,1509;
35,3030,2272,1527;
36,4166,2127,2377;
37,1639,1020,866;
38,4000,4545,2278;
39,16666,50000,33827;
40,1030,1219,608;
41,4000,1886,2373;
42,2439,50000,47561;
43,1250,11111,9861;
44,1754,1408,880;
45,1351,12500,11149;
46,3703,1470,2350;
47,1052,1020,533;
48,5882,2325,3722;
49,3571,1063,2522;
50,1851,12500,10649;
51,1754,1250,896;
52,8333,5263,4356;
53,2941,3448,1722;
54,2040,1886,1037;
55,1428,6250,4822;
56,3448,3333,1759;
57,2941,5000,2689;
58,2500,1428,1371;
59,10000,1612,8388;
60,1219,3571,2400;
61,50000,1428,48572;
62,3846,1515,2449;
63,1470,2857,1621;
64,3846,1176,2692;
65,1666,1136,852;
66,2222,2631,1319;
67,1265,1754,894;
68,7692,2380,5359;
69,2272,12500,10228;
70,1265,1282,667;
71,6666,2083,4632;
72,33333,1162,32171;
73,1298,2380,1321;
74,3448,4545,2272;
75,1785,4545,2885;
76,1315,1250,687;
77,2777,1515,1534;
78,1041,2777,1799;
79,1754,3225,1796;
80,1234,6250,5016;
81,3125,3333,1676;
82,2222,1851,1097;
83,6250,4000,3258;
84,4545,1250,3303;
85,1666,2083,1033;
86,3030,9090,6165;
87,1030,5263,4233;
88,4347,1041,3306;
89,1538,1010,798;
90,2222,9090,6868;
91,3030,33333,30303;
92,1694,7692,5998;
93,1250,5555,4305;
94,2857,2127,1438;
95,2272,1351,1216;
96,2500,6666,4313;
97,2564,5882,3573;
98,2631,33333,30702;
99,1010,5263,4253;
100,3225,2857,1610;
101,10000,2222,7778;
102,4000,3333,1990;
103,2564,2702,1374;
104,2631,4545,2438;
105,1234,1449,722;
106,1428,2000,988;
107,4347,10000,6087;
108,1052,1204,600;
109,2439,1075,1472;
110,3030,4347,2205;
111,1724,1041,924;
112,5000,3448,2542;
113,1010,5263,4253;
114,4761,11111,6814;
115,1470,2380,1269;
116,1587,3030,1703;
117,1234,12500,11266;
118,1282,2702,1593;
119,2380,1851,1186;
120,1587,1562,845;
121,1818,1886,964;
122,1960,2777,1411;
123,1052,12500,11448;
124,1333,1123,664;
125,1282,1265,680;
126,1428,1694,848;
127,1063,1408,708;
128,33333,11111,22545;
129,2083,1428,1071;
130,1333,1694,864;
131,2380,2380,1238;
132,1204,1388,700;
133,1234,1063,623;
134,1851,1960,1008;
135,1176,3225,2113;
136,1010,2325,1420;
137,1666,4166,2622;
138,1333,1000,675;
139,1538,1315,774;
140,1515,3571,2206;
141,9090,16666,9218;
142,1010,1351,679;
143,33333,3571,29762;
144,7142,1052,6090;
145,2857,3125,1575;
146,1063,2439,1488;
147,8333,1639,6694;
148,4000,2631,2054;
149,1315,1041,667;
150,16666,16666,8645;
151,1298,1041,648;
152,1136,5000,3864;
153,2941,1052,1943;
154,1492,6250,4758;
155,3571,1587,2162;
156,2222,1086,1300;
157,3225,6666,3872;
158,1086,1960,1077;
159,1020,4000,2981;
160,1123,1724,892;
161,1123,8333,7210;
162,1408,1538,790;
163,1538,4761,3270;
164,1408,1136,700;
165,11111,2777,8334;
166,1063,3125,2100;
167,1754,1369,876;
168,2500,20000,17500;
169,3571,3333,1817;
170,4347,33333,28986;
171,4000,1562,2547;
172,11111,6250,6065;
173,7692,1086,6606;
174,1204,1098,601;
175,1449,1428,759;
176,5000,4761,2551;
177,6250,1369,4881;
178,1694,1754,896;
179,1265,8333,7068;
180,2857,1162,1794;
181,1315,16666,15351;
182,2631,1075,1639;
183,1785,1754,928;
184,1063,2040,1148;
185,25000,1063,23937;
186,1123,1041,577;
187,4545,16666,12136;
188,1724,50000,48276;
189,4545,2083,2704;
190,12500,1923,10577;
191,2380,1136,1395;
192,1886,9090,7204;
193,1219,1190,623;
194,1923,2325,1157;
195,1785,2702,1373;
196,4166,7142,3845;
197,2272,1234,1252;
198,5555,5263,2813;
199,1369,1265,689;
task took 113.460000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,lengthS,lengthT,MinCost;
0,1035,1063,545;
1,1035,10000,8965;
2,1035,14285,13250;
3,1035,1000,537;
4,1035,2222,1316;
5,1035,1190,597;
6,1035,4347,3312;
7,1035,1234,619;
8,1035,1149,582;
9,1035,3030,2039;
10,1035,25000,23965;
11,1035,2325,1400;
12,1035,6250,5215;
13,1035,3846,2815;
14,1035,16666,15631;
15,1035,1010,541;
16,1035,2564,1612;
17,1035,2941,1952;
18,1035,6666,5631;
19,1035,11111,10076;
20,1035,1075,555;
21,1035,1388,691;
22,1035,1639,855;
23,1035,6666,5631;
24,1035,6666,5631;
25,1035,1818,988;
26,1035,1754,929;
27,1035,3030,2032;
28,1035,3030,2037;
29,1035,1754,946;
30,1035,1075,561;
31,1035,1923,1069;
32,1035,2325,1409;
33,1035,8333,7298;
34,1035,1960,1090;
35,1035,2777,1805;
36,1035,1234,618;
37,1035,2127,1245;
38,1035,4761,3726;
39,1035,2941,1950;
40,1035,100000,98965;
41,1035,2000,1149;
